Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
0.070349,0.054903,0.037512,0.05634,0.06873,0.058973
0.070212,0.055181,0.038469,0.055773,0.068148,0.060435
0.06994,0.055598,0.039289,0.054922,0.067857,0.061085
0.069395,0.056432,0.041065,0.053504,0.067567,0.061897
0.069259,0.056849,0.042021,0.052796,0.066985,0.063196
0.068986,0.057266,0.042841,0.051945,0.066549,0.063846
0.068577,0.057683,0.043798,0.051236,0.066259,0.064495
0.067896,0.058794,0.045438,0.049677,0.065387,0.065632
0.067487,0.059211,0.046257,0.048968,0.064951,0.066119
0.066942,0.059767,0.046941,0.048259,0.064515,0.066769
0.065989,0.060879,0.048444,0.0467,0.063497,0.067906
0.06558,0.061435,0.049127,0.045991,0.062916,0.068393
0.065035,0.061991,0.049674,0.045282,0.062335,0.069043
0.063945,0.063103,0.050903,0.043864,0.061899,0.06953
0.063264,0.063658,0.051587,0.043156,0.060736,0.070504
0.062718,0.064214,0.052133,0.042447,0.060155,0.070992
0.061628,0.065187,0.05309,0.041029,0.059573,0.071316
0.061083,0.065743,0.053636,0.04032,0.05841,0.072129
0.060402,0.06616,0.054183,0.039612,0.057829,0.072616
0.059312,0.066994,0.055139,0.038336,0.057102,0.072941
0.058767,0.067411,0.055686,0.037769,0.055794,0.07359
0.058086,0.067828,0.056096,0.037202,0.055068,0.073915
0.05686,0.068522,0.057052,0.036067,0.054486,0.074077
0.056178,0.0688,0.057462,0.0355,0.053178,0.074565
0.055497,0.069078,0.058009,0.034933,0.052452,0.074889
0.054135,0.069634,0.058829,0.033941,0.051725,0.075052
0.053453,0.069912,0.059239,0.033516,0.050272,0.075377
0.052636,0.070051,0.059649,0.033232,0.04969,0.075539
0.051137,0.070468,0.060605,0.032523,0.048963,0.075702
0.050319,0.070607,0.061015,0.03224,0.047655,0.075864
0.049502,0.070885,0.061425,0.032098,0.046929,0.075864
0.048684,0.071024,0.061972,0.031815,0.046202,0.075864
0.047049,0.071302,0.062928,0.031531,0.044894,0.075864
0.046232,0.071441,0.063475,0.031389,0.044167,0.075864
0.045414,0.071441,0.063885,0.031248,0.043586,0.075864
0.043779,0.07158,0.064704,0.031106,0.042278,0.075539
0.042962,0.07158,0.065114,0.030964,0.041697,0.075377
0.042144,0.07158,0.065524,0.030964,0.04097,0.075214
0.040645,0.07158,0.066344,0.031106,0.040389,0.075052
0.039964,0.071441,0.066754,0.031106,0.03908,0.074727
0.039147,0.071441,0.067027,0.031248,0.038499,0.074402
0.037648,0.071163,0.067711,0.031389,0.037918,0.07424
0.037103,0.070885,0.067984,0.031531,0.036755,0.07359
0.036422,0.070746,0.068394,0.031815,0.036319,0.073265
0.035059,0.07019,0.06894,0.03224,0.035738,0.072941
0.034514,0.069912,0.069214,0.032523,0.03472,0.072291
0.033833,0.069634,0.069487,0.032807,0.034284,0.071804
0.032743,0.0688,0.069897,0.033516,0.033994,0.071479
0.032198,0.068383,0.07017,0.033941,0.033267,0.070504
0.031653,0.067967,0.070307,0.034225,0.032976,0.070017
0.030835,0.066855,0.070717,0.035217,0.032686,0.06953
0.030563,0.066299,0.070853,0.035642,0.03225,0.068393
0.03029,0.065604,0.07099,0.036209,0.03225,0.067906
0.030154,0.065048,0.071127,0.036776,0.032104,0.067256
0.030018,0.063658,0.0714,0.03791,0.031814,0.065795
0.030018,0.062964,0.0714,0.038477,0.031814,0.065145
0.030018,0.062269,0.0714,0.039045,0.031814,0.064495
0.030154,0.060879,0.0714,0.04032,0.031814,0.063034
0.03029,0.060184,0.0714,0.041029,0.031814,0.062222
0.03029,0.059489,0.071127,0.041596,0.031814,0.061409
0.030563,0.057961,0.070853,0.043014,0.031959,0.060597
0.030699,0.057266,0.07058,0.043723,0.03225,0.059136
0.030835,0.056571,0.070307,0.044432,0.032395,0.058324
0.031108,0.055042,0.06976,0.045991,0.032686,0.057349
0.03138,0.054347,0.06935,0.0467,0.033267,0.055888
0.031516,0.053514,0.069077,0.047409,0.033558,0.055075
0.032198,0.052124,0.068121,0.048826,0.033994,0.054263
0.032606,0.051429,0.067711,0.049677,0.03472,0.052802
0.033015,0.050734,0.067164,0.050386,0.035156,0.05199
0.033969,0.049344,0.066208,0.051945,0.035592,0.051178
0.034514,0.04865,0.065661,0.052796,0.03661,0.049878
0.035195,0.047955,0.064978,0.053504,0.037191,0.049066
0.036422,0.046565,0.063748,0.054922,0.037772,0.048254
0.037103,0.04587,0.063065,0.055773,0.038935,0.046955
0.037784,0.045175,0.062381,0.056481,0.039517,0.046305
0.039147,0.043786,0.060878,0.058041,0.040243,0.045493
0.039692,0.04323,0.060059,0.05875,0.041551,0.044194
0.040373,0.042535,0.059239,0.059317,0.042133,0.043544
0.040918,0.04184,0.058419,0.060026,0.042859,0.042895
0.042144,0.040311,0.056779,0.061443,0.044167,0.041758
0.042825,0.039616,0.055959,0.06201,0.044894,0.041108
0.043507,0.038922,0.055003,0.062577,0.045621,0.040459
0.044733,0.037532,0.0535,0.063853,0.046929,0.039322
0.045414,0.036837,0.05268,0.06442,0.047655,0.038672
0.046096,0.036281,0.05186,0.064987,0.048382,0.038185
0.047594,0.035169,0.050357,0.06598,0.049109,0.037698
0.048412,0.034613,0.049674,0.066405,0.050562,0.036561
0.049093,0.034197,0.04899,0.066972,0.051289,0.036236
0.050592,0.033224,0.047624,0.067681,0.05187,0.035749
0.051409,0.032807,0.047077,0.068106,0.053324,0.035099
0.052227,0.03239,0.046531,0.06839,0.05405,0.034774
0.053726,0.031417,0.045301,0.069098,0.054632,0.034449
0.054543,0.031139,0.044754,0.069382,0.05594,0.033962
0.055225,0.030722,0.044208,0.069524,0.056666,0.0338
0.056723,0.030166,0.043115,0.070091,0.057102,0.033637
0.057268,0.030027,0.042568,0.070232,0.05841,0.033475
0.05795,0.02975,0.042021,0.070374,0.058992,0.033312
0.059176,0.029472,0.040928,0.070658,0.059428,0.033312
0.059721,0.029611,0.040382,0.070941,0.060591,0.033475
0.060266,0.029611,0.039835,0.070941,0.061172,0.033475
0.060811,0.029611,0.039289,0.071083,0.061753,0.033637
0.061628,0.029888,0.038195,0.071225,0.062625,0.0338
0.062037,0.030166,0.037649,0.071367,0.063207,0.034125
0.062446,0.030444,0.037102,0.071367,0.063643,0.034287
0.063264,0.031278,0.035872,0.071225,0.06466,0.034774
0.063536,0.031695,0.035326,0.071225,0.065096,0.035099
0.063809,0.032251,0.034779,0.071225,0.065532,0.035424
0.064354,0.033363,0.033959,0.071083,0.066259,0.036073
0.064626,0.034058,0.033413,0.070941,0.066695,0.036561
0.064899,0.034752,0.033003,0.0708,0.067131,0.036886
0.065444,0.036281,0.032183,0.070516,0.067421,0.037373
0.065716,0.037115,0.031773,0.070232,0.068148,0.038347
0.065989,0.037949,0.031363,0.070091,0.068439,0.038997
0.066397,0.039616,0.030817,0.069665,0.068584,0.039484
0.06667,0.04045,0.030407,0.069382,0.069166,0.040621
0.066942,0.041284,0.03027,0.069098,0.069311,0.041271
0.067351,0.042952,0.02986,0.068531,0.069602,0.04192
0.067624,0.043647,0.029723,0.068248,0.069892,0.043382
0.067896,0.044341,0.029587,0.067823,0.070038,0.044032
0.068305,0.045731,0.029587,0.067114,0.070183,0.044681
0.068441,0.046287,0.02945,0.066688,0.070328,0.046143
0.068714,0.046843,0.029587,0.066263,0.070328,0.046955
0.069122,0.047816,0.02986,0.065271,0.070328,0.047605
0.069259,0.048372,0.029997,0.064704,0.070328,0.049229
0.069531,0.048789,0.03027,0.064137,0.070328,0.049878
0.069804,0.049344,0.03068,0.063711,0.070328,0.05069
0.070076,0.050178,0.031363,0.062435,0.070038,0.052314
0.070212,0.050595,0.03191,0.061868,0.070038,0.053127
0.070349,0.051012,0.032456,0.061301,0.069892,0.053776
0.070621,0.051846,0.033686,0.060026,0.069602,0.0554
0.070757,0.052263,0.034369,0.059317,0.069456,0.056212
0.070757,0.05268,0.035053,0.058608,0.069311,0.056862
0.070757,0.053514,0.036692,0.057332,0.06902,0.057674
0.070757,0.054069,0.037512,0.056481,0.068584,0.059136
0.070757,0.054486,0.038469,0.055773,0.068439,0.059785
0.070485,0.055459,0.040245,0.054355,0.068148,0.060435
0.070349,0.056015,0.041065,0.053646,0.067567,0.061734
0.070076,0.056571,0.042021,0.052796,0.067131,0.062384
0.069395,0.057822,0.043798,0.051236,0.06684,0.063034
